;;;;;;;;;;;;;;;;;;;;;;
traject1;Mogelijke kruisingen in bocht 22;;;;;ref.breedte;57,79;;;;;;;;;;;;;;;
;gewenste breedte bakprofiel krap;;;;;;;bij 2 gelijksoortig geladen vaartuigen, krap profiel;;;;;;;;;;;;;;
;ongeladen;I;II;III;IV;Va;Vb;ongeladen;I;II;III;IV;Va;Vb;geladen;I;II;III;IV;Va;Vb;
;geladen;;;;;;;ongeladen;;;;;;;geladen;;;;;;;
;I;1;1;1;1;1;1;I;1;1;1;1;1;1;I;1;1;1;1;1;1;
;II;1;1;1;1;1;1;II;0;1;1;1;1;1;II;0;1;1;1;1;1;
;III;1;1;1;1;1;1;III;0;0;1;1;1;1;III;0;0;1;1;1;1;
;IV;1;1;1;1;1;1;IV;0;0;0;1;1;1;IV;0;0;0;1;1;1;
;Va;1;1;1;1;1;1;Va;0;0;0;0;1;1;Va;0;0;0;0;1;1;
;Vb;1;1;1;1;1;1;Vb;0;0;0;0;0;1;Vb;0;0;0;0;0;1;
;;;;;;;;;;;;;;;;;;;;;;
traject2;Mogelijke kruisingen in doortocht Kortrijk, theoretisch;;;;;;;;;;;;;;;;;;;;;
;gewenste breedte bakprofiel krap;;;;;;;bij 2 gelijksoortig geladen vaartuigen, krap profiel;;;;;;;;;;;;;;
;ongeladen;I;II;III;IV;Va;Vb;ongeladen;I;II;III;IV;Va;Vb;geladen;I;II;III;IV;Va;Vb;
;geladen;;;;;;;ongeladen;;;;;;;geladen;;;;;;;
;I;1;1;1;1;0;0;I;1;1;1;1;1;1;I;1;1;1;1;1;0;
;II;1;1;1;1;0;0;II;0;1;1;1;1;0;II;0;1;1;1;1;0;
;III;1;1;1;1;0;0;III;0;0;1;1;1;0;III;0;0;1;1;1;0;
;IV;1;1;1;1;0;0;IV;0;0;0;1;0;0;IV;0;0;0;1;1;0;
;Va;0;0;0;0;0;0;Va;0;0;0;0;0;0;Va;0;0;0;0;0;0;
;Vb;0;0;0;0;0;0;Vb;0;0;0;0;0;0;Vb;0;0;0;0;0;0;
;;;;;;;;;;;;;;;;;;;;;;
traject3;Mogelijke kruisingen in bocht 24;;;;;ref.breedte;50,75;;;;;;;;;;;;;;;
;gewenste breedte bakprofiel krap;;;;;;;bij 2 gelijksoortig geladen vaartuigen, krap profiel;;;;;;;;;;;;;;
;ongeladen;I;II;III;IV;Va;Vb;ongeladen;I;II;III;IV;Va;Vb;geladen;I;II;III;IV;Va;Vb;
;geladen;;;;;;;ongeladen;;;;;;;geladen;;;;;;;
;I;1;1;1;1;1;1;I;1;1;1;1;1;1;I;1;1;1;1;1;1;
;II;1;1;1;1;1;1;II;0;1;1;1;1;1;II;0;1;1;1;1;1;
;III;1;1;1;1;1;1;III;0;0;1;1;1;1;III;0;0;1;1;1;1;
;IV;1;1;1;1;1;1;IV;0;0;0;1;1;1;IV;0;0;0;1;1;1;
;Va;1;1;1;1;1;1;Va;0;0;0;0;1;1;Va;0;0;0;0;1;1;
;Vb;1;1;1;1;1;1;Vb;0;0;0;0;0;1;Vb;0;0;0;0;0;1;
;;;;;;;;;;;;;;;;;;;;;;
traject4;Mogelijke kruisingen in bocht 25;;;;;ref.breedte;60,00;;;;;;;;;;;;;;;
;gewenste breedte bakprofiel krap;;;;;;;bij 2 gelijksoortig geladen vaartuigen, krap profiel;;;;;;;;;;;;;;
;ongeladen;I;II;III;IV;Va;Vb;ongeladen;I;II;III;IV;Va;Vb;geladen;I;II;III;IV;Va;Vb;
;geladen;;;;;;;ongeladen;;;;;;;geladen;;;;;;;
;I;1;1;1;1;1;1;I;1;1;1;1;1;1;I;1;1;1;1;1;1;
;II;1;1;1;1;1;1;II;0;1;1;1;1;1;II;0;1;1;1;1;1;
;III;1;1;1;1;1;1;III;0;0;1;1;1;1;III;0;0;1;1;1;1;
;IV;1;1;1;1;1;1;IV;0;0;0;1;1;1;IV;0;0;0;1;1;1;
;Va;1;1;1;1;1;1;Va;0;0;0;0;1;1;Va;0;0;0;0;1;1;
;Vb;1;1;1;1;1;1;Vb;0;0;0;0;0;1;Vb;0;0;0;0;0;1;
;;;;;;;;;;;;;;;;;;;;;;
;Mogelijke kruisingen in bocht 25;;;;;ref.breedte;48,66;;kade ter hoogte van Imog;;;;;;;;;;;;;
;gewenste breedte bakprofiel krap;;;;;;;bij 2 gelijksoortig geladen vaartuigen, krap profiel;;;;;;;;;;;;;;
;ongeladen;I;II;III;IV;Va;Vb;ongeladen;I;II;III;IV;Va;Vb;geladen;I;II;III;IV;Va;Vb;
;geladen;;;;;;;ongeladen;;;;;;;geladen;;;;;;;
;I;1;1;1;1;1;1;I;1;1;1;1;1;1;I;1;1;1;1;1;1;
;II;1;1;1;1;1;1;II;0;1;1;1;1;1;II;0;1;1;1;1;1;
;III;1;1;1;1;1;1;III;0;0;1;1;1;1;III;0;0;1;1;1;1;
;IV;1;1;1;1;1;1;IV;0;0;0;1;1;1;IV;0;0;0;1;1;1;
;Va;1;1;1;1;1;1;Va;0;0;0;0;1;1;Va;0;0;0;0;1;1;
;Vb;1;1;1;1;1;1;Vb;0;0;0;0;0;1;Vb;0;0;0;0;0;1;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
traject5;Mogelijke kruisingen Kuurnebrug tot sluis HB;;;;;ref.breedte;;;;;;;;;;;;;;;;
;breedte ongeladen kiel recht stuk;;;;;;;grootste breedte nautisch profiel recht stuk;;;;;;;grootste breedte nautisch profiel recht stuk;;;;;;;
;ongeladen;I;II;III;IV;Va;Vb;ongeladen;I;II;III;IV;Va;Vb;geladen;I;II;III;IV;Va;Vb;
;geladen;;;;;;;ongeladen;;;;;;;geladen;;;;;;;
;I;1;1;1;1;1;0;I;1;1;1;1;0;0;I;1;1;1;1;1;1;
;II;1;1;1;1;0;0;II;0;1;1;1;0;0;II;0;1;1;1;1;0;
;III;1;1;1;1;0;0;III;0;0;1;1;0;0;III;0;0;1;1;1;0;
;IV;1;1;1;0;0;0;IV;0;0;0;1;0;0;IV;0;0;0;1;1;0;
;Va;1;1;0;0;0;0;Va;0;0;0;0;0;0;Va;0;0;0;0;0;0;
;Vb;1;1;0;0;0;0;Vb;0;0;0;0;0;0;Vb;0;0;0;0;0;0;
;;;;;;;;;;;;;;;;;;;;;;
traject6;Mogelijke kruisingen in bocht 27;;;;;ref.breedte;45,10;ter hoogte van de Hogebrug te HB;;;;;;;;;;;;;;
;gewenste breedte bakprofiel krap;;;;;;;bij 2 gelijksoortig geladen vaartuigen, krap profiel;;;;;;;;;;;;;;
;ongeladen;I;II;III;IV;Va;Vb;ongeladen;I;II;III;IV;Va;Vb;geladen;I;II;III;IV;Va;Vb;
;geladen;;;;;;;ongeladen;;;;;;;geladen;;;;;;;
;I;1;1;1;1;1;1;I;1;1;1;1;1;1;I;1;1;1;1;1;1;
;II;1;1;1;1;1;1;II;0;1;1;1;1;1;II;0;1;1;1;1;1;
;III;1;1;1;1;1;1;III;0;0;1;1;1;1;III;0;0;1;1;1;1;
;IV;1;1;1;1;1;1;IV;0;0;0;1;1;1;IV;0;0;0;1;1;1;
;Va;1;1;1;1;1;1;Va;0;0;0;0;1;1;Va;0;0;0;0;1;1;
;Vb;1;1;1;1;1;1;Vb;0;0;0;0;0;1;Vb;0;0;0;0;0;1;
;;;;;;;;;;;;;;;;;;;;;;
;Mogelijke kruisingen in bocht 27;;;;;ref.breedte;30,00;vaartuig aangemeerd bij kade LO Geldhof en/of 1 van (WVEM, Vincke);;;;;;;;;;;;;;
;gewenste breedte bakprofiel krap;;;;;;;bij 2 gelijksoortig geladen vaartuigen, krap profiel;;;;;;;;;;;;;;
;ongeladen;I;II;III;IV;Va;Vb;ongeladen;I;II;III;IV;Va;Vb;geladen;I;II;III;IV;Va;Vb;
;geladen;;;;;;;ongeladen;;;;;;;geladen;;;;;;;
;I;1;1;1;1;1;1;I;1;1;1;1;1;1;I;1;1;1;1;1;1;
;II;1;1;1;1;1;1;II;0;1;1;1;1;1;II;0;1;1;1;1;1;
;III;1;1;1;1;1;1;III;0;0;1;1;1;1;III;0;0;1;1;1;1;
;IV;1;1;1;1;1;1;IV;0;0;0;1;1;1;IV;0;0;0;1;1;1;
;Va;1;1;1;1;1;1;Va;0;0;0;0;1;1;Va;0;0;0;0;1;1;
;Vb;1;1;1;1;1;1;Vb;0;0;0;0;0;1;Vb;0;0;0;0;0;1;
;;;;;;;;;;;;;;;;;;;;;;
;Mogelijke kruisingen in bocht 27;;;;;ref.breedte;24,47;zowel bij kade WVEM als kade Vincke vaartuig aangemeerd;;;;;;;;;;;;;;
;gewenste breedte bakprofiel normaal;;;;;;;gewenste breedte bakprofiel krap;;;;;;;bij 2 gelijksoortig geladen vaartuigen, krap profiel;;;;;;;
;ongeladen;I;II;III;IV;Va;Vb;ongeladen;I;II;III;IV;Va;Vb;geladen;I;II;III;IV;Va;Vb;
;geladen;;;;;;;ongeladen;;;;;;;geladen;;;;;;;
;I;1;1;1;1;1;1;I;1;1;1;1;1;1;I;1;1;1;1;1;1;
;II;1;1;1;1;1;1;II;0;1;1;1;1;1;II;0;1;1;1;1;1;
;III;1;1;1;1;1;1;III;0;0;1;1;1;1;III;0;0;1;1;1;1;
;IV;1;1;1;1;1;1;IV;0;0;0;1;1;1;IV;0;0;0;1;1;1;
;Va;1;1;1;1;1;1;Va;0;0;0;0;1;1;Va;0;0;0;0;1;1;
;Vb;1;1;1;1;1;1;Vb;0;0;0;0;0;1;Vb;0;0;0;0;0;1;
;;;;;;;;;;;;;;;;;;;;;;